rank,title,release,summary,metascore,userscore,link,img_url
11,The Wire: Season 4,"September 10, 2006","One of the most heralded and unique dramas on television, David Simon's Baltimore-set crime show turns its focus on that city's public school system (and education in general) for its 13-episode fourth season.",98,9.5,https://www.metacritic.com/tv/the-wire/season-4,https://static.metacritic.com/images/products/tv/8/6c15c17ed464350aa8b646ca1391ef6b-98.jpg
12,The Sopranos: Season 2,"January 16, 2000","Meet Tony Soprano: your average, middle-aged businessman. Tony's got a dutiful wife. A not-so-dutiful son. A daughter named Meadow. An uncle who's losing his marbles. A hot-headed nephew. A not-too-secret mistress. And a shrink to tell all his secrets, except the one she already knows:
Tony's a mob boss whose troubles are wrapped up in his two families. These days, it's getting tougher and tougher to make a killing in the killing business. Just because you're 'made' doesn't mean you've got it made.",97,9.3,https://www.metacritic.com/tv/the-sopranos/season-2,https://static.metacritic.com/images/products/tv/3/590b2cfc1fc029712fe134af14bc1ee5-98.jpg
13,The Larry Sanders Show: Season 5,"November 13, 1996","Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show.  Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",97,6.0,https://www.metacritic.com/tv/the-larry-sanders-show/season-5,https://static.metacritic.com/images/products/tv/8/6e3d8b562b95c82cd4b1c43e0b2b2721-98.jpg
14,Planet Earth: Blue Planet II,"January 20, 2018","Airing simultaneously on AMC, BBC America, IFC, SundanceTV, and WE tv, the seven-part mini-series takes a look at life in the world's oceans with narration by David Attenborough.",97,8.3,https://www.metacritic.com/tv/planet-earth-blue-planet-ii/season-1,https://static.metacritic.com/images/products/tv/1/b7562a2dea7598236c1380fe911080cf-98.jpg
15,Atlanta: Season 2,"March 1, 2018","The second season subtitled the Atlanta Robbin' Season sees ""Earn"" Marks (Donald Glover) and his cousin Alfred Miles (Brian Tyree Henry) continuing their way into the Atlanta music scene.",97,8.2,https://www.metacritic.com/tv/atlanta/season-2,https://static.metacritic.com/images/products/tv/8/f2c3b636b6314de8d41397c4ee07a072-98.jpg
16,The Sopranos: Season 3,"March 4, 2001","Meet Tony Soprano: your average, middle-aged businessman. Tony's got a dutiful wife. A not-so-dutiful son. A daughter named Meadow. An uncle who's losing his marbles. A hot-headed nephew. A not-too-secret mistress. And a shrink to tell all his secrets, except the one she already knows:
Tony's a mob boss whose troubles are wrapped up in his two families. These days, it's getting tougher and tougher to make a killing in the killing business. Just because you're 'made' doesn't mean you've got it made.",97,9.4,https://www.metacritic.com/tv/the-sopranos/season-3,https://static.metacritic.com/images/products/tv/3/590b2cfc1fc029712fe134af14bc1ee5-98.jpg
17,America to Me: Season 1,"August 26, 2018","The 10-part documentary series from Steve James takes a year-long look at Chicago's Oak Park and River Forest High School as students and staff deal with a variety of issues, including race, at one of the most diverse suburban public high schools in the U.S.",96,5.6,https://www.metacritic.com/tv/america-to-me/season-1,https://static.metacritic.com/images/products/tv/2/d8c3487e22f9b50f6005e8e97a834c1d-98.jpg
18,Homeland: Season 2,"September 30, 2012","Six months after the end of last season, Carrie has returned from treatment to live with her family and Brody is given an opportunity to run for a higher office.",96,8.3,https://www.metacritic.com/tv/homeland/season-2,https://static.metacritic.com/images/products/tv/7/7b8ff04441ee2f677d1859d68466e02f-98.jpg
19,Twin Peaks: Season 1,"April 8, 1990","""She's dead. Wrapped in plastic.""
Date: Friday, February 24, 1989:
Homecoming Queen Laura Palmer is found dead, washed up on a riverbank, wrapped in plastic sheeting. FBI Special Agent Dale Cooper is called in to investigate the murder of this young woman in the small, Northwestern town of Twin Peaks.  What he doesn't know is that in Twin Peaks, no one is innocent.Twin Peaks was created by TV veteran Mark Frost (Hill Street Blues) and edgy filmmaker David Lynch, Academy Award nominated director of The Elephant Man, Blue Velvet and Mulholland Dr.  It aired on ABC from 1990 - 1991. The series, with a few exceptions, followed the interesting convention that one episode equaled one day in the town of Twin Peaks.  This means that after 30 episodes, the series covers just slightly more than one month.After Twin Peaks was canceled by ABC, David Lynch went on to make the prequel film, Twin Peaks: Fire Walk With Me, the story of the last seven days of  Laura Palmer.",96,9.3,https://www.metacritic.com/tv/twin-peaks/season-1,https://static.metacritic.com/images/products/tv/2/539628c428dbe4a523dabc5006817de2-98.jpg
20,O.J.: Made in America: Season 1,"June 11, 2016","The five-part documentary chronicles O.J. Simpson's rise from the San Francisco housing projects to football fame in college and the NFL to his post-football career and infamy with the 1995 trial for the killings of his ex-wife, Nicole, and Ron Goldman. The first episode will air on ABC with the following four episodes airing only on ESPN.",96,8.0,https://www.metacritic.com/tv/oj-made-in-america/season-1,https://static.metacritic.com/images/products/tv/7/e854b9d1c1e8b1a66915b7b6c3cfc58d-98.jpg
21,What We Do in the Shadows (2019): Season 3,"September 2, 2021","The third season finds the vampires meeting the first vampire, a Siren, gargoyles and wondering what to do with Guillermo.",96,8.1,https://www.metacritic.com/tv/what-we-do-in-the-shadows-2019/season-3,https://static.metacritic.com/images/products/tv/1/6b497c0eccd8e23b02928f65e24b2b80-98.jpg
22,Breaking Bad: Season 4,"July 17, 2011",Walter (Bryan Cranston) has more trouble on his hands with drug lord Gus Fring (Giancarlo Eposito).,96,9.5,https://www.metacritic.com/tv/breaking-bad/season-4,https://static.metacritic.com/images/products/tv/2/ac04956caf6d3ec537238f8a6899a18b-98.jpg
23,The Sopranos: Season 6,"March 12, 2006","The extended sixth and final season of the hugely popular HBO series will air in two parts: 12 episodes beginning in March 2006, and eight more starting in January 2007.",96,9.0,https://www.metacritic.com/tv/the-sopranos/season-6,https://static.metacritic.com/images/products/tv/3/590b2cfc1fc029712fe134af14bc1ee5-98.jpg
24,Better Things: Season 2,"September 14, 2017",All 10 episodes of the second season of the family sitcom was directed by co-creator/writer/star Pamela Adlon.,96,7.3,https://www.metacritic.com/tv/better-things/season-2,https://static.metacritic.com/images/products/tv/6/c62d4ec08a1e3889006ab9539a030476-98.jpg
25,Fleabag: Season 2,"March 4, 2019",A priest (Andrew Scott) helps Fleabag change the ways she looks at the world in the second season of the comedy from Phoebe Waller-Bridge.,96,8.8,https://www.metacritic.com/tv/fleabag/season-2,https://static.metacritic.com/images/products/tv/4/9de670e6c0d18055f1e2dc48c2bb9699-98.jpg
26,Fargo: Season 2,"October 12, 2015","Set in 1979, State Trooper Lou Solverson (Patrick Wilson) investigates a case that involves a local crime gang, the Mob, beautician Peggy Blumquist (Kirsten Dunst) and her husband Ed (Jesse Plemons) in Sioux Falls, South Dakota.",96,9.2,https://www.metacritic.com/tv/fargo/season-2,https://static.metacritic.com/images/products/tv/2/de9c84d0e28953bc1019f1f974d6c896-98.jpg
27,Planet Earth II: Season 1,"November 6, 2016","Narrated by David Attenborough, the sequel to the 2006 nature series features the use of 4K ultra high definition (UHD), aerial drones, and remote recordings to explore animals and the habitats they live in such as islands, mountains, jungles, deserts, grasslands and cities.",96,9.4,https://www.metacritic.com/tv/planet-earth-ii/season-1,https://static.metacritic.com/images/products/tv/0/69ea9d4c7f0e96a187199a9e07d6916c-98.jpg
28,Catastrophe: Season 3,"April 28, 2017",The third season of the series features the final TV role for Carrie Fisher as Rob's mother (she passed away shortly after finishing filming the season).,96,8.1,https://www.metacritic.com/tv/catastrophe/season-3,https://static.metacritic.com/images/products/tv/5/06f54ec77cf1bf32eb4724b9a5970add-98.jpg
29,Enlightened: Season 2,"January 13, 2013",Amy and Tyler seek to take down the corporation. Molly Shannon as the executive assistant to the CEO of Abaddonn Industries and Dermot Mulroney as an investigative reporter join the cast.,95,7.6,https://www.metacritic.com/tv/enlightened/season-2,https://static.metacritic.com/images/products/tv/8/42942322f2b49c6d270d638481181c8f-98.jpg
30,The Staircase: Season 1,"April 4, 2005","An 8-part documentary series about the celebrated trial of Michael Peterson, a writer who is accused of murdering his wife, executive Kathleen Peterson, who was found dead at the bottom of a staircase in their home.",95,6.7,https://www.metacritic.com/tv/the-staircase/season-1,https://static.metacritic.com/images/products/tv/5/06aa5fa81f24e148177dbb607fac8811-98.jpg
31,The Americans: Season 4,"March 16, 2016",Elizabeth and Phillips are given a new dangerous bio-weapon assignment as they deal with the potential repercussions from Paige's confession to her pastor.,95,9.0,https://www.metacritic.com/tv/the-americans/season-4,https://static.metacritic.com/images/products/tv/3/171e420454001273405c07081e58e2ba-98.jpg
32,The Wire: Season 2,"June 1, 2003","In chronicling a multi-generational family business dealing illegal drugs and the efforts of the Baltimore police to curb their trade, this series draws parallels between these organizations and the men and women on either side of the battle.The words of Gary W. Potter, Professor of Criminal Justice and Police Studies at Eastern Kentucky University, in writing about the savings and loan scandals of the 1980s, can also be used to illuminate some of the central premises of the show:""There is precious little difference between those people who society designates as respectable and law abiding and those people society castigates as hoodlums and thugs. The world of corporate finance and corporate capital is as criminogenic and probably more criminogenic than any poverty-wracked slum neighborhood. The distinctions drawn between business, politics, and organized crime are at best artificial and in reality irrelevant. Rather than being dysfunctions, corporate crime, white-collar crime, organized crime, and political corruption are mainstays of American political-economic life.""Tim Goodman, the television critic for The San Francisco Chronicle, summed the show up perfectly when he wrote: ""This show is precisely the reason you pay for HBO.""In New York's Newsday, Diane Werts says: ""Most TV crime series aspire to John Grisham's level. 'The Wire' aspires to Dostoevsky's.""Season ThemesSeason One centers around a family of drug dealers and the innerworkings of their empire.  It also follows the detectives who are trying to catch the high members of the empire.  Season Two steps away from the drug trade (while still mentioning characters from the previous season) to a case of dead prostitutes which turns into a look at the corruption surrounding the Port.  Season Three investigates politics and finishes the main stories that were left open in season one.  Season Four focuses on four middle school students and their journeys through the public school system and continues to address the politics of an inner-city and the issues of an election.  Season Five is rumored to be about the media's role in Baltimore.  Season Five will be the show's final season.Theme MusicIn the Season One opening credits, the Blind Boys of Alabama did Tom Waits's ""Way Down in the Hole"". The Season Two opening credits feature Waits's version of the song. According to creator David Simon, ""It was our way of saying: This is the same show (song) but this year, the tale itself (singer, tonality) will be different."" The Neville Brothers's version of the song opens Season Three. The theme which plays over the end credits was composed by the show's music supervisor, Blake Leyh.

International AiringsAustralia -- Monday at 12:00 p.m. on Ch.9. Currently airing Season 3.
New Zealand --  Wednesday at 11:40 p.m. on TV2, beginning December 15, 2004.",95,9.0,https://www.metacritic.com/tv/the-wire/season-2,https://static.metacritic.com/images/products/tv/8/6c15c17ed464350aa8b646ca1391ef6b-98.jpg
33,Homicide: Life on the Street: Season 1,"January 31, 1993","This series was the most reality-based police drama that has ever aired on television.  It was shot entirely with handheld cameras on location in the Fells Point Community of Baltimore, MD.  One of the series' executive producers, Barry Levinson, is a Baltimore native.  He has written and directed at least three films that take place in Baltimore: ""Diner"", ""Tin Men"" & ""Avalon"".  Doing this show was a natural for him.

The series was based on a book called ""Homicide: A Year on the Killing Streets,"" by David Simon, a writer who spent a year with the members of Baltimore's homicide unit.  Some of the series' characters and cases were based on the book.

This series was unlike most cop shows of that time, in that there were almost no car chases, gunfights and etc.  This show was about closing cases and the act of the crime was usually never seen.  Generally, the viewer first sees the case when the detective(s) arrive on the scene.  Open cases are kept track of on a board, open cases under the primary detective's name are shown in red ink, when the case is closed the red is replaced by black ink.  During the first season it aired, it didn't have great ratings and the chances for a second season looked bleak.  When Steven Bochco's NYPD Blue premiered in the Fall of '93 and got great ratings, police dramas ""were in"" and the series was given the go-ahead for a second season (the two Emmy Awards probably didn't hurt either).  The better ratings of the second season led to a full third and subsequent seasons.  When the Lifetime cable channel picked the show up for syndication in 1997 it helped guarantee that there would be a fifth season.  Then NBC made it possible for the series to have a sixth and seventh season.

With the great cast, acting, writing, and directing the series has won awards including a few Emmy Awards, Writer's Guild Awards and George Foster Peabody Awards.  Most of these awards were earned by Tom Fontana, one of the series' executive producers, whose other credits include St. Elsewhere.  In the 1995-1996 television season Andre Braugher was finally nominated for Best Actor in a Drama.  While he didn't win that year, two years later in the 1997-1998 television season he was again nominated, this time the Television Academy recognized what we already knew, that Andre Braugher was the best actor working in television drama.

One of the highlights of the series, starting with the second season was the use of music.  All varieties of music have been featured throughout the series, most often it was featured in a montage of the detectives conducting their investigation.

First air date: January 31, 1993
Last air date: May 21, 1999
Original air time: Friday 10:00:00 pm (Eastern)",94,8.7,https://www.metacritic.com/tv/homicide-life-on-the-street/season-1,https://static.metacritic.com/images/products/tv/1/ec80520876c4c8c9f138660ce35d894e-98.jpg
34,Better Things: Season 3,"February 28, 2019","Co-creator/writer/star Pamela Adlon will again direct all 12 episodes which will include appearances from Matthew Broderick, Janina Gavankar, Doug Jones, Judy Reyes, Charlie Robinson, Sharon Stone, Cree Summer, Marsha Thomason, and Glynn Turman.",94,8.4,https://www.metacritic.com/tv/better-things/season-3,https://static.metacritic.com/images/products/tv/6/c62d4ec08a1e3889006ab9539a030476-98.jpg
35,Game of Thrones: Season 4,"April 6, 2014","The fourth season finds King Joffrey preparing to wed Margaery Tyrell (Natalie Dormer), as Jaime Lannister seeks to rekindle his relationship with his sister Cersei, while Daenerys add more people to her army, and Castle Black is about to be attacked by Wildlings.",94,9.2,https://www.metacritic.com/tv/game-of-thrones/season-4,https://static.metacritic.com/images/products/tv/5/25b577800d6e543af264cab55c5e07d6-98.jpg
36,Battlestar Galactica (2003): Season 3,"October 6, 2006",The 20-episode third season of the acclaimed series picks up where season two unexpectedly ended: pitting humans against Cylons on the planet of New Caprica.,94,9.1,https://www.metacritic.com/tv/battlestar-galactica-2003/season-3,https://static.metacritic.com/images/products/tv/4/6635860cfcfee0c31d9288c4a0d94b26-98.jpg
37,Transparent: Season 2,"December 4, 2015",Maura's (Jeffrey Tambor) journey continues in season two.,94,6.6,https://www.metacritic.com/tv/transparent/season-2,https://static.metacritic.com/images/products/tv/3/24cb7513b964e5aa7a5d7c9d26583471-98.jpg
38,Better Things: Season 5,"February 28, 2022","The fifth and final season finds Sam juggling her career, her growing children and the difficulties of aging affecting her mother as well as herself.",94,tbd,https://www.metacritic.com/tv/better-things/season-5,https://static.metacritic.com/images/products/tv/6/c62d4ec08a1e3889006ab9539a030476-98.jpg
39,Louie: Season 3,"June 28, 2012","Dane Cook, Ricky Gervais, Joan Rivers, Jerry Seinfeld guest star in the third season of the Louie C.K. comedy series.",94,8.8,https://www.metacritic.com/tv/louie/season-3,https://static.metacritic.com/images/products/tv/1/683318ad518ed62cc0289d500a3fc01a-98.jpg
40,The Americans: Season 5,"March 7, 2017",The espionage drama was renewed for two seasons (with season six set to be its final season).,94,8.4,https://www.metacritic.com/tv/the-americans/season-5,https://static.metacritic.com/images/products/tv/3/171e420454001273405c07081e58e2ba-98.jpg
41,The Office (UK): Season 2,"September 30, 2002","""Trust, encouragement, reward, loyalty... satisfaction. That's what I'm..you know. Trust people and they'll be true to you. Treat them greatly, and they will show themselves to be great."" - David Brent. The Office tells a story of a few people working in a British office working hard to not lose their jobs. This hilarious comedy won a Golden Globe award for best comedy series. It was created by Ricky Gervais and Steve Merchant. David Brent (Ricky Gervais) is a manager of low intelligence and has no sense of humor, but is convinced that he is the best, the most entertaining and the most well liked boss of all time.Today the show has been sold in more than 60 countries and it even had a remake in America. The Office is the first non-American show nominated in the category of best television musical or comedy for a Golden Globe Award; and Ricky Gervais was the first non-American actor nominated for the lead role in a television comedy for the same award. The Office won both awards and left Sex and the City & Matt LeBlanc empty handed. When the series aired the first season, they did not even know how popular it would get in some future episodes. The fact that its release on the DVD format proved to be the BBC's best selling comedy release shows its mass popularity and appeal.The writers at the start did not imagine that a second season would be created and after bowing to pressure to create one they would not do it again for a third. The show ended on a high note after two Christmas specials which tied up knots and rounded off wonderfully the first two seasons.Opening Theme Song: ""Handbags and Gladrags"" performed by Fin.WARNING: some episodes contain quotes with strong language.",93,8.9,https://www.metacritic.com/tv/the-office-uk/season-2,https://static.metacritic.com/images/products/tv/5/8a3b3b532241017bb81a276f721bdbd8-98.jpg
42,Deadwood: Season 2,"March 6, 2005","In an age of plunder and greed, the richest gold strike in American History draws a throng of restless misfits to an outlaw settlement where everything - and everyone - has a price. Welcome to Deadwood...a hell of a place to make your fortune. From Executive Producer David Milch (""NYPD Blue"") comes DEADWOOD, a new drama series that focuses on the birth of an American frontier town and the ruthless power struggle that exists in its lawless boundaries. The story begins two weeks after Custer's defeat at Little Bighorn, combining fictional and real-life characters and events in an epic morality tale. Located in the Black Hills Indian Cession, the ""town"" of Deadwood is an illegal settlement, a violent and uncivilized outpost that attracts a colorful array of characters looking to get rich - from outlaws and entrepreneurs to ex-soldiers and racketeers, Chinese laborers, prostitutes, city dudes and gunfighters.",93,9.1,https://www.metacritic.com/tv/deadwood/season-2,https://static.metacritic.com/images/products/tv/8/a3fffca34845350b35eb76ec76f2c1c2-98.jpg
43,City So Real: Season 1,"October 29, 2020",The five-part documentary directed by Steve James looks at the city of Chicago and its residents as 21 candidates run for mayor of the Windy City in 2018-19.,93,4.4,https://www.metacritic.com/tv/city-so-real/season-1,https://static.metacritic.com/images/products/tv/9/a5332ec02d4bf5a32d5a88205a8eb5fe-98.jpg
44,PEN15: Season 2,"September 18, 2020","The 14-episode second season split into two halves (the second half will premiere in 2021) finds Anna (Anna Konkle) and Maya (Maya Erskine) back in middle school as they try to fit in while attending parties, school plays and sleepovers.",93,7.5,https://www.metacritic.com/tv/pen15/season-2,https://static.metacritic.com/images/products/tv/5/391af9dac7cebd87378beb40daa9c189-98.jpg
45,Louie: Season 4,"May 5, 2014","After 19 months, the Emmy-winning comedy returns with a 14 episode season.",93,8.7,https://www.metacritic.com/tv/louie/season-4,https://static.metacritic.com/images/products/tv/1/683318ad518ed62cc0289d500a3fc01a-98.jpg
46,Curb Your Enthusiasm: Season 3,"September 15, 2002","Each half-hour episode of Curb Your Enthusiasm features verité-style footage of David (playing himself) at home, at work and around town, as he gets into predicaments with fictional and real-life personalities. With cast regulars Jeff Garlin (as manager Jeff Greene) and Cheryl Hines (as wife Cheryl), the series features appearances by guest celebrities playing themselves or character roles. Candid, unsparing and self-deprecating, Curb Your Enthusiasm brings the off-kilter comic vision of Larry David--co-creator and co-executive producer of one of the most lauded comedy series in TV history, Seinfeld--to HBO. The series blurs the lines between reality and fiction, as David (playing himself) and a cast of real and fictional characters are followed around Los Angeles by a ubiquitous camera that chronicles the private, often banal world of a (relatively) public man. Having evolved from the 1999 HBO special Larry David: Curb Your Enthusiasm, this series proves how seemingly trivial details of one's day-to-day life--a trip to the movies, a phone call, a visit from some trick-or-treaters--can precipitate a ""Murphy's Law"" chain of misfortune to hilarious effect. Like George Costanza in Seinfeld, the protagonist of Curb Your Enthusiasm has a knack for getting himself into uncomfortable situations that end up alienating him from peers and acquaintances. To keep the narrative fresh and spontaneous, Curb Your Enthusiasm is shot without a script; the cast is given scene outlines and often improvise lines as they go. The result is an unpredictable format that's unlike anything else on TV.
In Germany the show is known as Lass es, Larry! (""Stop it, Larry!"")In Portuguese the show is known as A Louca Vida de Larry (""Larry's Crazy Life"")In Norway it is known is Ingen grunn til begeistringIn Sweden it is known as Simma lugnt, Larry!In Finland it is known as JÃ¤itÃ¤ hattuun",93,8.8,https://www.metacritic.com/tv/curb-your-enthusiasm/season-3,https://static.metacritic.com/images/products/tv/6/f8b07f682be177c5c9d7f311a57272ef-98.jpg
47,Bleak House: Season 1,"October 27, 2005",Masterpiece Theatre tackles the Dickens classic for the second time with this miniseries (adapted by Andrew Davies) airing in six weekly installments.,93,9.0,https://www.metacritic.com/tv/bleak-house/season-1,https://static.metacritic.com/images/products/tv/7/215d09c54d7be881c68b9d4449125c14-98.jpg
48,Homecoming: A Film by Beyoncé,"November 2, 2018","The documentary film about Beyoncé's 2018 Coachella performance promises interviews, behind-the-scenes footage and information about the creation of her concept.",93,7.8,https://www.metacritic.com/tv/homecoming-a-film-by-beyonce/season-1,https://static.metacritic.com/images/products/tv/9/44ace6fa21b00dfcabc59a229dbc7c29-98.jpg
49,The Larry Sanders Show: Season 3,"June 22, 1994","Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show.  Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",93,7.5,https://www.metacritic.com/tv/the-larry-sanders-show/season-3,https://static.metacritic.com/images/products/tv/8/6e3d8b562b95c82cd4b1c43e0b2b2721-98.jpg
50,The Americans: Season 6,"March 28, 2018",Philip (Matthew Rhys) and Elizabeth's (Keri Russell) plans to return to Russia are stymied and their daughter becomes involved in the spy game in the sixth and final season of the espionage drama.,92,8.2,https://www.metacritic.com/tv/the-americans/season-6,https://static.metacritic.com/images/products/tv/3/171e420454001273405c07081e58e2ba-98.jpg
51,Mad Men: Season 4,"July 25, 2010",Season four continues with Don Draper's divorce from his wife while the new agency Sterling Cooper Draper Pryce begins business.,92,9.0,https://www.metacritic.com/tv/mad-men/season-4,https://static.metacritic.com/images/products/tv/1/494dd0085ea41a5d2d50b962a355062a-98.jpg
